SITUAÇÃO,SUBSTÂNCIA,TOPONÍMIA,MUNICÍPIO,Latitude,Longitude
Garimpo ativo,Turmalina,Valdivino,São José da Safira,"-18,292383","-42,11131"
Garimpo ativo,Turmalina,Alair,São José da Safira,"-18,311721","-42,100401"
Garimpo ativo,Turmalina,Zé Alemão,Água Boa,"-18,239395","-42,088318"
Garimpo ativo,Turmalina,Benedito,Água Boa,"-18,238235","-42,085663"
Garimpo ativo,Turmalina,Lincoln,Água Boa,"-18,235431","-42,078207"
Garimpo inativo,Turmalina,Cassiano,São José da Safira,"-18,353974","-42,107365"
Garimpo ativo,Turmalina,Chinha,São José da Safira,"-18,346692","-42,105879"
Mina ativa,Turmalina,Pederneira I,São José da Safira,"-18,226212","-42,186115"
Garimpo ativo,Turmalina,Chafic,São José da Safira,"-18,267807","-42,161382"
Garimpo ativo,Turmalina,Sexta-feira II,São José da Safira,"-18,267487","-42,155698"
Garimpo ativo,Turmalina,Pederneira II,São José da Safira,"-18,222848","-42,185782"
Garimpo inativo,Turmalina,Mula Morta,Santa Maria do Suaçuí,"-18,279335","-42,196715"
Garimpo inativo,Turmalina,Pedregal,Água Boa,"-18,202277","-42,09365"
Garimpo ativo,Turmalina,Palmeira,Água Boa,"-18,198719","-42,139244"
Garimpo ativo,Turmalina,Palmeirão,Água Boa,"-18,208454","-42,135107"
Garimpo inativo,Turmalina,Goiabeira,São José da Safira,"-18,344956","-42,138594"
Garimpo ativo,Turmalina,Marcelo II,São José da Safira,"-18,318262","-42,10725"
Mina ativa,Turmalina,Rolador,São José da Safira,"-18,264934","-42,186323"
Mina ativa,Turmalina,Cruzeiro,São José da Safira,"-18,264817","-42,188234"
Mina ativa,Turmalina,Pau d’Alho,Franciscópolis,"-18,067345","-42,025987"
Garimpo inativo,Turmalina,Gatinho I,Água Boa,"-18,135469","-42,056736"
Garimpo inativo,Turmalina,Gato / Urupuca,Água Boa,"-18,145016","-42,066379"
Mina ativa,Turmalina,Gatinho II,Franciscópolis,"-18,130711","-42,049677"
Mina ativa,Turmalina,Gato,Franciscópolis,"-18,111554","-42,047468"
Mina ativa,Turmalina,Faria I,Governador Valadares,"-18,727998","-42,08546"
Mina ativa,Turmalina,Olho-de-Gato,Governador Valadares,"-18,729732","-42,088927"
Mina ativa,Turmalina,Faria II / Giovani,Governador Valadares,"-18,729186","-42,084643"
Mina ativa,Turmalina,Golconda II / Machadão,Governador Valadares,"-18,724659","-42,084939"
Garimpo ativo,Turmalina,Veadinho I,Marilac,"-18,458365","-42,106036"
Garimpo ativo,Turmalina,Monte Alto 1,Salinas,"-16,134054","-42,085721"
Garimpo inativo,Turmalina,Pau Preto,Salinas,"-15,979937","-42,133101"
Garimpo ativo,Turmalina,Pau Alto 1,Coronel Murta,"-16,551634","-42,184579"
Garimpo ativo,Turmalina,Nim,Coronel Murta,"-16,603242","-42,174453"
Garimpo intermitente,Turmalina,Nequinha/Palmeira,Coronel Murta,"-16,604374","-42,188644"
Garimpo intermitente,Turmalina,Chapadinha,Coronel Murta,"-16,579921","-42,20225"
Garimpo inativo,Turmalina,Carlau,Coronel Murta,"-16,609536","-42,179062"
Garimpo ativo,Turmalina,Paineira,Coronel Murta,"-16,630985","-42,274407"
Garimpo inativo,Turmalina,Luís Rocha – Caraíbas,Rubelita,"-16,309102","-42,156941"
Mina exaurida,Urânio,INB Caldas,Caldas,"-21,94695","-46,500267"
Mina ativa,Zinco,Mina de Vazante,Vazante,"-17,915234","-46,815945"
Mina ativa,Zinco,Mina Extremo Norte,Vazante,"-17,906487","-46,812072"
Mina ativa,Zinco,Mina Morro Agudo,Paracatu,"-17,498682","-46,820035"
